avgHR,calories,duration,steps,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
128.0,158,17.83,1651.0,1.38,6.53,551.46,p06,40.03,2020-01-30,42,179,male,181,94,Yes,6.7,100.0
123.0,117,10.37,1182.0,0.91,5.81,619.21,p06,38.77,2020-02-05,42,179,male,181,94,No,5.07,99.0
163.0,411,23.68,4065.0,4.27,10.86,331.6,p06,45.81,2020-02-11,42,179,male,181,94,No,5.67,100.0
144.0,434,27.88,4770.0,5.01,10.76,334.65,p06,50.02,2020-03-26,42,179,male,181,94,No,6.4,97.0
152.0,425,28.42,4582.0,5.0,11.48,313.7,p06,49.89,2020-03-30,42,179,male,181,94,No,6.17,97.0
140.0,615,41.12,6821.0,6.2,9.01,399.41,p06,47.29,2020-02-17,42,179,male,181,94,Yes,5.08,100.0
145.0,582,40.35,6449.0,6.19,9.43,381.96,p06,47.9,2020-01-06,42,179,male,181,94,No,6.0,99.0
144.0,558,38.03,6315.0,6.2,9.66,372.5,p06,46.97,2020-01-03,42,179,male,181,94,Yes,6.07,98.0
150.0,638,40.35,6495.0,6.52,9.75,369.05,p06,45.49,2019-12-09,42,179,male,181,94,No,5.28,99.0
157.0,410,27.37,4230.0,4.32,10.4,346.1,p06,46.67,2020-03-21,42,179,male,181,94,No,5.48,100.0
153.0,435,27.35,4539.0,4.35,9.56,376.42,p06,45.18,2020-03-18,42,179,male,181,94,No,6.67,100.0
147.0,411,26.43,4543.0,4.34,9.88,364.4,p06,47.29,2020-02-21,42,179,male,181,94,Yes,6.22,98.0
139.0,444,29.82,4921.0,4.75,9.42,382.0,p06,48.63,2020-02-24,42,179,male,181,94,No,6.42,98.0
152.0,589,39.08,6040.0,6.01,9.86,365.08,p06,44.61,2020-02-26,42,179,male,181,94,No,6.63,97.0
152.0,442,30.43,4880.0,5.06,10.73,335.5,p06,47.27,2020-03-11,42,179,male,181,94,No,5.62,98.0
151.0,317,25.5,3402.0,3.46,10.38,346.68,p06,47.35,2020-03-09,42,179,male,181,94,No,6.75,94.0
140.0,572,41.15,6480.0,6.29,9.67,372.31,p06,48.74,2020-02-27,42,179,male,181,94,No,5.97,96.0
151.0,1694,148.33,24119.0,25.49,10.56,340.75,p07,55.69,2019-12-08,26,177,male,180,67,No,1.08,93.0
147.0,757,71.5,10405.0,11.19,10.25,351.05,p07,56.13,2019-12-24,26,177,male,180,67,No,7.27,95.0
145.0,1165,102.08,16470.0,18.43,10.84,332.21,p07,44.09,2019-11-17,26,177,male,180,67,Yes,3.97,90.0
136.0,895,85.12,13897.0,15.6,11.0,327.14,p07,46.97,2019-11-24,26,177,male,180,67,No,3.92,90.0
