avgHR,calories,duration,steps,speed,pace,vo2Max,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
144.0,540,39.62,5528.0,8.78,410.12,46.03,26,180,1,183,93,0,5.3,95.0
166.0,565,43.23,5115.0,6.62,543.76,37.2,26,180,1,183,93,0,5.77,93.0
148.0,206,127.27,3308.0,8.54,421.77,52.7,38,179,0,197,80,0,8.0,90.0
134.0,279,33.0,4549.0,6.92,520.23,47.73,38,179,0,197,80,0,8.22,91.0
168.0,307,26.77,4375.0,9.79,367.66,49.23,38,179,0,197,80,0,7.77,88.0
172.0,446,33.62,5109.0,11.32,318.0,53.65,27,178,1,180,68,0,7.0,95.0
170.0,344,25.8,3841.0,10.45,344.41,53.65,27,178,1,180,68,0,7.0,95.0
171.0,471,34.78,5254.0,10.82,332.83,47.38,27,178,1,180,68,0,7.0,95.0
169.0,267,19.93,3048.0,11.21,321.27,46.99,27,178,1,180,68,0,7.0,95.0
150.0,494,38.25,5561.0,10.69,336.85,50.78,31,183,1,186,85,0,7.0,94.0
165.0,400,25.52,4080.0,10.76,334.73,48.51,31,183,1,186,85,0,6.85,93.0
146.0,306,21.9,3223.0,9.21,391.03,50.72,31,183,1,186,85,0,6.87,95.0
154.0,287,31.27,4739.0,8.25,436.49,52.2,31,183,1,186,85,0,7.0,94.0
146.0,276,34.5,4313.0,11.2,321.35,40.7,45,181,1,190,72,0,9.17,96.0
143.0,312,35.37,4394.0,10.98,328.01,51.38,45,181,1,190,72,0,7.18,94.0
151.0,311,35.73,4438.0,8.89,405.0,47.29,45,181,1,190,72,0,7.0,93.0
148.0,1022,113.45,14898.0,11.25,320.11,48.46,45,181,1,190,72,0,5.57,98.0
154.0,553,62.02,7763.0,9.05,397.76,56.3,45,181,1,190,72,0,5.65,95.0
152.0,314,36.18,4308.0,8.92,403.6,41.63,45,181,1,190,72,0,7.0,93.0
146.0,442,50.0,6463.0,8.87,405.85,44.24,45,181,1,190,72,1,7.0,93.0
145.0,818,92.25,12309.0,8.97,401.16,55.33,45,181,1,190,72,0,8.8,93.0
158.0,326,34.97,4538.0,11.14,323.09,48.39,45,181,1,190,72,1,7.37,98.0
137.0,293,45.08,4979.0,8.79,409.69,48.72,45,181,1,190,72,0,5.68,91.0
142.0,638,73.22,9305.0,8.63,417.09,44.0,45,181,1,190,72,1,7.0,93.0
148.0,365,45.03,5067.0,9.75,369.28,49.9,45,181,1,190,72,1,5.5,89.0
140.0,306,44.35,4971.0,10.08,357.01,38.78,45,181,1,190,72,0,5.17,92.0
143.0,216,31.27,3239.0,9.95,361.73,52.56,45,181,1,190,72,0,9.23,92.0
152.0,333,41.22,4755.0,10.19,353.39,45.91,45,181,1,190,72,0,9.03,91.0
146.0,1200,131.17,18417.0,10.87,331.31,54.62,45,181,1,190,72,0,6.97,97.0
145.0,272,34.77,4260.0,10.42,345.33,49.89,45,181,1,190,72,0,5.92,98.0
149.0,295,34.55,4375.0,10.47,343.97,50.35,45,181,1,190,72,0,7.58,92.0
147.0,518,82.33,8057.0,9.07,397.1,49.71,45,181,1,190,72,1,8.18,96.0
140.0,538,68.53,8088.0,8.97,401.16,47.27,45,181,1,190,72,1,6.77,93.0
147.0,508,64.15,7925.0,9.12,394.7,44.24,45,181,1,190,72,1,1.1,96.0
143.0,317,44.45,5269.0,8.46,425.77,53.89,45,181,1,190,72,1,9.07,89.0
154.0,325,38.68,4751.0,8.63,417.14,54.09,45,181,1,190,72,0,8.6,92.0
149.0,223,35.78,3412.0,8.66,415.6,48.51,45,181,1,190,72,0,9.2,93.0
136.0,206,37.1,3479.0,8.73,412.45,41.83,45,181,1,190,72,0,7.0,93.0
149.0,335,38.83,4889.0,8.81,408.66,49.89,45,181,1,190,72,0,6.62,97.0
155.0,337,36.88,4704.0,9.47,380.01,49.72,45,181,1,190,72,0,5.1,95.0
141.0,667,92.82,10472.0,9.41,382.61,46.21,45,181,1,190,72,0,7.75,92.0
146.0,316,37.77,4748.0,9.61,374.52,33.46,45,181,1,190,72,0,7.9,92.0
166.0,276,35.55,3967.0,10.01,359.47,47.01,45,181,1,190,72,0,9.38,88.0
149.0,315,38.95,4723.0,9.54,377.25,46.99,45,181,1,190,72,0,6.02,92.0
145.0,649,109.08,10089.0,9.19,391.67,48.58,45,181,1,190,72,0,8.7,90.0
142.0,311,42.9,4892.0,11.29,318.92,37.68,45,181,1,190,72,0,12.1,93.0
139.0,395,60.88,6129.0,8.48,424.4,47.01,45,181,1,190,72,0,6.9,91.0
161.0,279,33.57,4095.0,11.28,319.06,50.78,45,181,1,190,72,0,7.0,93.0
154.0,270,38.1,4082.0,10.35,347.89,53.28,45,181,1,190,72,1,9.4,87.0
119.0,1345,134.28,11870.0,5.8,620.98,53.3,54,180,1,160,80,0,7.2,97.0
88.0,1059,233.57,10855.0,2.19,1646.44,51.38,54,180,1,160,80,0,7.7,96.0
112.0,1466,155.4,12130.0,5.05,713.27,49.23,54,180,1,160,80,0,6.18,95.0
111.0,1454,169.4,11482.0,4.09,881.05,48.39,54,180,1,160,80,0,6.28,98.0
113.0,303,32.73,2842.0,5.26,684.95,42.32,54,180,1,160,80,0,7.4,96.0
91.0,970,141.42,12220.0,3.96,908.7,51.11,54,180,1,160,80,0,8.38,94.0
113.0,1219,135.88,14943.0,4.95,727.77,38.78,54,180,1,160,80,0,7.6,95.0
111.0,1003,108.93,9057.0,3.61,996.3,47.27,54,180,1,160,80,0,6.83,94.0
114.0,1482,157.67,13161.0,5.24,687.22,53.6,54,180,1,160,80,0,9.42,93.0
121.0,1221,123.33,9981.0,5.44,661.33,55.07,54,180,1,160,80,0,8.47,97.0
110.0,798,84.82,8062.0,5.86,614.26,45.29,54,180,1,160,80,0,6.58,99.0
117.0,1627,167.85,14550.0,5.59,644.09,53.89,54,180,1,160,80,0,7.72,98.0
109.0,1106,124.77,8539.0,4.25,846.59,52.7,54,180,1,160,80,0,9.13,96.0
120.0,1273,126.27,10972.0,5.6,643.26,47.27,54,180,1,160,80,0,8.03,96.0
124.0,1062,101.85,9128.0,5.99,600.96,47.38,54,180,1,160,80,0,6.93,97.0
126.0,829,78.83,7404.0,6.0,600.34,46.03,54,180,1,160,80,0,7.95,96.0
