avgHR,calories,duration,steps,startTime,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR
123.0,117,10.366666666666667,1182.0,2020-02-05 05:52:11,0.911351,5.813901639344262,619.2055220951479,p06,38.77,2020-02-05,42,179,male,181
163.0,411,23.683333333333334,4065.0,2020-02-11 14:08:46,4.274585,10.8563610719323,331.6028249380291,p06,45.81,2020-02-11,42,179,male,181
144.0,434,27.883333333333333,4770.0,2020-03-26 19:27:21,5.013789,10.75765724594107,334.6453523938311,p06,50.02,2020-03-26,42,179,male,181
152.0,425,28.416666666666668,4582.0,2020-03-30 19:24:34,5.004812,11.475796308084023,313.7037207138307,p06,49.89,2020-03-30,42,179,male,181
140.0,615,41.11666666666667,6821.0,2020-02-17 05:48:13,6.200585,9.013379366368806,399.40624416991795,p06,47.29,2020-02-17,42,179,male,181
145.0,582,40.35,6449.0,2020-01-06 06:06:24,6.189398,9.425068610634648,381.9600841884577,p06,47.9,2020-01-06,42,179,male,181
144.0,558,38.03333333333333,6315.0,2020-01-03 14:11:48,6.200015,9.664317683194383,372.5043110141303,p06,46.97,2020-01-03,42,179,male,181
150.0,638,40.35,6495.0,2019-12-09 14:16:50,6.522437,9.754672318779143,369.0539140991424,p06,45.49,2019-12-09,42,179,male,181
157.0,410,27.366666666666667,4230.0,2020-03-21 08:18:53,4.321828,10.401543243243243,346.10248843012124,p06,46.67,2020-03-21,42,179,male,181
153.0,435,27.35,4539.0,2020-03-18 19:29:48,4.348929,9.56373382624769,376.4220194125219,p06,45.18,2020-03-18,42,179,male,181
147.0,411,26.433333333333334,4543.0,2020-02-21 14:18:16,4.34157,9.879272727272726,364.3992932862191,p06,55.69,2020-02-21,42,179,male,181
139.0,444,29.816666666666666,4921.0,2020-02-24 06:20:36,4.75364,9.42413004484305,381.9981242693001,p06,48.63,2020-02-24,42,179,male,181
152.0,589,39.083333333333336,6040.0,2020-02-26 14:10:59,6.00746,9.860886216466236,365.0787486005596,p06,44.61,2020-02-26,42,179,male,181
152.0,442,30.433333333333334,4880.0,2020-03-11 13:57:36,5.055226,10.730206246317028,335.50147288507543,p06,47.27,2020-03-11,42,179,male,181
151.0,317,25.5,3402.0,2020-03-09 14:17:52,3.464703,10.384219451371571,346.6798844976744,p06,47.35,2020-03-09,42,179,male,181
109.0,75,7.6,932.0,2020-03-09 05:53:11,0.732726,5.896429530201343,610.5389679569481,p06,39.01,2020-03-09,42,179,male,181
140.0,572,41.15,6480.0,2020-02-27 05:45:03,6.288718,9.669395788568973,372.3086818160728,p06,48.74,2020-02-27,42,179,male,181
151.0,1694,148.33333333333334,24119.0,2019-12-08 10:42:31,25.490648,10.564887197231835,340.7513902224395,p07,55.69,2019-12-08,26,177,male,180
147.0,757,71.5,10405.0,2019-12-24 13:33:29,11.191523,10.25482431052094,351.05428342702845,p07,56.13,2019-12-24,26,177,male,180
145.0,1165,102.08333333333333,16470.0,2019-11-17 10:04:25,18.431062,10.836570308672218,332.2084291852945,p07,45.18,2019-11-17,26,177,male,180
136.0,895,85.11666666666666,13897.0,2019-11-24 12:22:18,15.60307,11.004307933398628,327.144607529004,p07,40.49,2019-11-24,26,177,male,180
150.0,710,63.5,9563.0,2020-03-16 17:32:53,10.683617,10.459517128874388,344.1841488133227,p07,51.6,2020-03-16,26,177,male,180
114.0,89,11.283333333333333,1264.0,2020-03-17 16:41:59,1.374046,7.317372781065089,491.97985502605457,p07,64.98,2020-03-17,26,177,male,180
