weight,alcohol_consumed,user_id,date
100,No,p05,2019-12-09
100,No,p05,2019-12-10
100,No,p05,2019-12-11
100,No,p05,2019-12-12
100,No,p05,2019-12-13
100,No,p05,2019-12-14
100,No,p05,2019-12-16
100,No,p05,2019-12-02
100,No,p05,2020-01-18
100,Yes,p05,2020-02-23
100,No,p05,2020-01-20
100,No,p05,2020-02-28
100,Yes,p05,2020-02-29
100,No,p05,2020-03-03
100,No,p05,2020-03-04
100,No,p05,2020-03-05
100,No,p05,2020-03-06
100,No,p05,2020-03-07
100,No,p05,2020-03-08
100,No,p05,2020-03-09
100,No,p05,2020-03-10
100,No,p05,2020-03-11
100,No,p05,2020-03-12
100,No,p05,2020-02-27
100,No,p05,2020-03-13
100,No,p05,2020-03-16
100,No,p05,2020-03-19
100,Yes,p05,2020-03-21
100,No,p05,2019-11-17
100,Yes,p05,2020-03-31
100,No,p05,2020-03-30
100,No,p05,2020-03-29
100,No,p05,2020-03-28
100,No,p05,2020-03-27
100,No,p05,2020-03-25
100,No,p05,2020-03-23
100,No,p05,2020-03-24
100,No,p05,2020-03-22
100,No,p05,2020-03-15
100,No,p05,2020-01-19
100,No,p05,2020-02-25
100,No,p05,2020-01-21
100,No,p05,2020-01-23
100,No,p05,2020-01-24
100,No,p05,2020-01-25
100,No,p05,2020-01-26
100,No,p05,2020-01-27
100,No,p05,2020-01-28
100,No,p05,2020-01-29
100,No,p05,2020-01-30
100,No,p05,2020-01-31
100,Yes,p05,2020-02-01
100,Yes,p05,2020-02-02
100,No,p05,2020-02-03
100,Yes,p05,2020-02-22
100,No,p05,2020-04-03
100,No,p05,2020-02-05
100,No,p05,2020-02-06
100,Yes,p05,2020-02-08
100,Yes,p05,2020-02-09
100,No,p05,2020-02-11
100,No,p05,2020-02-12
100,No,p05,2020-02-14
100,No,p05,2020-02-15
100,No,p05,2020-02-16
100,Yes,p05,2020-02-17
100,No,p05,2020-02-19
100,No,p05,2020-02-21
100,No,p05,2020-01-22
100,Yes,p05,2020-02-04
100,No,p05,2019-11-15
100,No,p05,2020-03-01
94,No,p06,2020-02-10
94,Yes,p06,2020-02-06
94,No,p06,2020-02-05
94,No,p06,2020-02-04
94,No,p06,2020-02-12
94,No,p06,2020-02-02
94,No,p06,2020-02-01
94,Yes,p06,2020-01-31
94,Yes,p06,2020-01-30
94,Yes,p06,2020-01-29
94,No,p06,2020-01-28
94,No,p06,2020-01-27
94,No,p06,2020-01-26
94,Yes,p06,2020-01-25
94,No,p06,2020-01-09
94,Yes,p06,2020-01-10
94,Yes,p06,2020-01-12
94,Yes,p06,2020-01-15
94,Yes,p06,2020-01-17
94,Yes,p06,2020-01-18
94,No,p06,2020-01-19
94,No,p06,2020-01-20
94,No,p06,2020-01-22
94,No,p06,2020-01-24
94,No,p06,2020-01-16
94,Yes,p06,2020-02-15
94,Yes,p06,2020-02-17
94,No,p06,2020-02-18
94,Yes,p06,2020-03-13
94,No,p06,2020-03-17
94,No,p06,2020-03-18
94,Yes,p06,2020-03-20
94,No,p06,2020-03-10
94,No,p06,2020-03-21
94,No,p06,2020-03-24
94,Yes,p06,2020-03-28
94,No,p06,2020-03-29
94,No,p06,2020-03-30
94,No,p06,2020-03-23
94,Yes,p06,2020-01-07
94,Yes,p06,2020-03-06
94,Yes,p06,2020-03-04
94,Yes,p06,2020-02-19
94,No,p06,2020-02-20
94,Yes,p06,2020-02-21
94,Yes,p06,2020-02-22
94,No,p06,2020-02-23
94,No,p06,2020-02-24
94,No,p06,2020-03-05
94,No,p06,2020-02-26
94,Yes,p06,2020-02-29
94,No,p06,2020-03-01
94,No,p06,2020-02-03
94,No,p06,2020-02-08
