user_id,date,sleep,sleep_quality
p09,2019-11-24,7.67,93
p08,2019-11-24,5.4,94
p13,2019-11-24,6.25,91
p06,2019-11-24,3.18,95
p09,2019-11-25,5.25,97
p01,2019-11-25,5.53,98
p14,2019-11-25,5.83,95
p02,2019-11-25,6.97,96
p16,2019-11-25,6.67,94
p13,2019-11-25,7.1,93
p05,2019-11-25,6.35,93
p07,2019-11-25,9.82,97
p15,2019-11-25,8.35,97
p10,2019-11-25,5.9,87
p06,2019-11-25,1.13,91
p04,2019-11-25,7.62,92
p08,2019-11-25,7.13,95
p11,2019-11-25,6.27,96
p07,2019-11-26,8.5,96
p04,2019-11-26,7.17,94
p01,2019-11-26,5.3,98
p05,2019-11-26,5.85,99
p15,2019-11-26,7.0,95
p10,2019-11-26,6.72,91
p11,2019-11-26,7.73,97
p06,2019-11-26,1.53,97
p14,2019-11-26,9.23,95
p02,2019-11-26,5.9,97
p08,2019-11-26,7.22,94
p16,2019-11-26,7.43,92
p09,2019-11-26,6.9,90
p13,2019-11-26,6.18,93
p16,2019-11-27,3.87,91
p15,2019-11-27,7.38,96
p13,2019-11-27,6.0,92
p02,2019-11-27,6.18,92
p08,2019-11-27,7.48,93
p04,2019-11-27,0.9,90
p14,2019-11-27,6.43,95
p11,2019-11-27,6.42,96
p05,2019-11-27,6.47,94
p06,2019-11-27,4.27,100
p07,2019-11-27,7.28,95
p01,2019-11-27,6.08,97
p09,2019-11-27,8.45,96
p10,2019-11-27,7.13,90
p10,2019-11-28,6.9,93
p14,2019-11-28,6.55,98
p15,2019-11-28,8.08,97
p04,2019-11-28,6.8,94
p09,2019-11-28,6.33,91
p01,2019-11-28,5.68,94
p16,2019-11-28,6.12,93
p13,2019-11-28,6.95,97
p02,2019-11-28,6.32,90
p07,2019-11-28,6.62,96
p06,2019-11-28,7.22,97
p05,2019-11-28,7.42,96
p11,2019-11-28,6.52,97
p08,2019-11-28,7.37,90
p05,2019-11-29,7.1,93
p09,2019-11-29,8.17,95
p06,2019-11-29,3.78,96
p14,2019-11-29,8.15,94
p04,2019-11-29,6.53,94
p07,2019-11-29,6.95,96
p02,2019-11-29,6.73,94
p11,2019-11-29,6.38,99
p01,2019-11-29,5.15,93
p10,2019-11-29,7.6,90
p13,2019-11-29,6.83,92
p08,2019-11-29,6.38,96
p16,2019-11-29,8.88,87
p15,2019-11-29,8.37,95
p04,2019-11-30,9.17,94
p05,2019-11-30,6.75,94
p09,2019-11-30,6.57,98
p16,2019-11-30,8.43,96
p08,2019-11-30,8.32,94
p13,2019-11-30,8.27,93
p07,2019-11-30,5.95,97
p15,2019-11-30,7.28,95
p11,2019-11-30,8.98,98
p01,2019-11-30,6.7,97
p10,2019-11-30,10.33,87
p06,2019-11-30,7.37,100
p08,2019-12-01,7.48,93
p16,2019-12-01,6.88,96
p11,2019-12-01,7.72,98
p06,2019-12-01,7.32,98
p02,2019-12-01,6.65,96
p07,2019-12-01,7.6,96
p15,2019-12-01,7.27,97
p05,2019-12-01,5.32,99
p04,2019-12-01,6.72,96
p01,2019-12-01,6.45,96
p16,2019-12-02,6.75,95
p01,2019-12-02,3.17,95
p07,2019-12-02,1.02,97
p02,2019-12-02,6.27,93
p15,2019-12-02,6.73,95
p05,2019-12-02,6.02,96
p09,2019-12-02,6.43,97
p04,2019-12-02,6.33,89
p06,2019-12-02,5.38,97
p08,2019-12-02,6.85,94
p10,2019-12-02,7.28,95
p11,2019-12-02,6.22,95
p16,2019-12-03,6.72,93
p15,2019-12-03,8.12,95
p05,2019-12-03,4.32,97
p04,2019-12-03,6.6,92
p09,2019-12-03,5.3,95
p02,2019-12-03,6.37,99
p10,2019-12-03,6.85,94
p11,2019-12-03,6.53,99
p08,2019-12-03,6.95,95
p07,2019-12-03,7.52,95
p06,2019-12-03,5.48,97
p14,2019-12-03,6.02,80
p01,2019-12-03,5.75,98
p06,2019-12-04,5.22,97
p04,2019-12-04,6.62,95
p10,2019-12-04,6.45,91
p14,2019-12-04,6.13,82
p11,2019-12-04,0.88,87
p15,2019-12-04,6.77,96
p08,2019-12-04,6.67,95
p16,2019-12-04,7.88,94
p01,2019-12-04,5.58,94
p02,2019-12-04,6.53,92
p05,2019-12-04,5.03,96
p07,2019-12-04,8.03,96
p09,2019-12-04,6.05,91
p04,2019-12-05,6.88,92
p05,2019-12-05,6.05,95
p14,2019-12-05,6.87,83
p10,2019-12-05,8.3,92
p08,2019-12-05,7.45,95
p09,2019-12-05,9.82,90
p11,2019-12-05,6.5,99
p16,2019-12-05,6.73,94
p06,2019-12-05,6.27,96
p01,2019-12-05,5.23,95
p15,2019-12-05,7.78,96
p07,2019-12-05,6.73,96
p02,2019-12-05,6.38,99
p08,2019-12-06,7.33,93
p15,2019-12-06,5.87,98
p11,2019-12-06,6.28,97
p05,2019-12-06,6.68,97
p07,2019-12-06,1.17,88
p02,2019-12-06,3.38,91
p10,2019-12-06,6.88,86
p04,2019-12-06,1.33,99
p06,2019-12-06,6.53,99
p01,2019-12-06,4.83,89
p14,2019-12-06,7.33,94
p16,2019-12-06,6.4,93
p09,2019-12-06,4.0,88
p07,2019-12-07,6.05,97
p16,2019-12-07,6.5,93
p06,2019-12-07,7.7,96
p11,2019-12-07,8.42,97
p09,2019-12-07,11.18,90
p08,2019-12-07,6.1,95
p04,2019-12-07,7.8,93
p05,2019-12-07,4.65,94
p02,2019-12-07,6.2,92
p10,2019-12-07,10.28,95
p14,2019-12-07,9.38,89
p15,2019-12-07,9.03,95
p01,2019-12-07,7.07,94
